ALGORITHME,DATA SIZE,ITERATIONS,COUPS HORLOGE,SWAPS NB,COMPARE N
BASIC SORT,100,100,800,9000,495000
BASIC SORT,200,100,2200,19500,1990000
BASIC SORT,500,100,20700,49476,12475000
BUBBLESORT,100,100,900,242000,811800
BUBBLESORT,200,100,4500,1006800,3840700
BUBBLESORT,500,100,29700,6416514,24563774
INSERTION SORT,100,100,300,0,228200
INSERTION SORT,200,100,1300,0,1019454
INSERTION SORT,500,100,7500,0,6168600
QUICK SORT,100,100,200,0,61700
QUICK SORT,200,100,200,0,150600
QUICK SORT,500,100,800,0,442900
